,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
TCGA-A2-A04Y,0.0,1.069832,1.0257837,1.1877797,4.1099906,1.3750596,0.0,0.0,0.7226181,0.37780648,0.0,3.0769162,0.9660877,0.55305773,0.0,0.49484348,0.5497561,1.9010395,2.5689025,0.0,0.0,1.6770836,0.3359499,0.0,0.0,0.5691005,0.0,2.6057484,0.34258586,0.0,0.25698757,0.0,1.9582717,1.7309084,0.2652662,2.0889246,0.19340023,0.8178731,0.0,1.0246013,0.0,0.0,2.274316,2.7562733,0.48329508,1.8113309,0.0,0.052131385,2.220181,0.0,0.18667223,0.6904823,0.0,0.28300086,0.93520546,0.43878403,0.854492,2.9726322,0.0,2.7494984,0.0,2.8715744,0.0,1.5445197
TCGA-A2-A0CL,0.0,0.0,1.1353085,1.5361913,2.1521263,1.7070702,0.0,0.0,0.41302934,0.0,0.0,1.0170329,0.0,3.1234279,0.0,1.9632418,4.704255,2.6639585,3.6111107,0.0,0.0,3.8835678,0.17735586,0.15803234,0.0,1.9418743,0.0,2.2788503,0.05718939,2.3638363,0.0,2.5768633,0.44588125,1.1257542,2.4777462,0.0,0.09469754,1.5664903,0.0,3.6659384,0.0,0.0,0.5553318,1.8892266,0.0,2.310524,0.0,0.0,0.0,0.11118193,0.0,0.8820247,0.60877115,0.0,3.30803,1.3706074,1.1076881,1.1014616,0.0,1.8851967,0.0,0.636122,1.2441171,1.5541605
TCGA-A2-A0CM,1.4334182,0.0,0.0,0.0,3.2380462,0.5639274,0.8370441,0.0,1.2932632,0.18104233,3.8124278,0.0,1.2014413,2.0307176,0.8986284,0.84957063,4.0225863,1.7731209,2.642935,3.4471445,0.96792066,0.84464,0.0,0.0,0.0,1.1533678,1.8884448,3.742754,2.8733447,0.57175505,1.4400105,1.7867799,0.0,4.934632,1.7082398,0.0,0.0,0.0,0.0,1.366919,2.5670764,0.0,0.0,0.0,0.30385974,0.4980219,0.20963761,0.0,0.0,0.0,0.67131406,1.5886031,2.208507,0.051202126,3.0248713,2.0658855,0.0,0.0,1.9814602,0.0,2.8899252,0.0,0.0,2.320576
TCGA-A2-A0CP,1.5445231,2.1512585,0.0,0.85397786,0.9365945,0.2690723,0.0,0.72945505,2.5727975,0.39122674,0.0,1.6856209,0.0,2.5322077,0.0,0.0,1.6784099,1.0686213,1.9249954,0.0,0.0,1.685145,0.57874715,0.7990986,0.0,0.65251803,0.0,1.641558,0.0,1.5758066,0.0,2.6030972,1.2004454,0.6752584,0.0,3.045975,0.0,2.1860242,0.0,0.0,0.0,1.1670651,2.2038777,2.3012416,2.1104228,1.7343382,0.7462899,0.21515846,0.27972645,0.0,0.0,0.0,0.0,0.5580169,0.0,2.2588282,1.68597,2.7887335,0.0,0.0,0.0,3.290945,2.7761235,0.7442889
TCGA-A2-A0CQ,0.0,3.6437247,0.03290443,1.8512301,1.1698256,0.0,0.0,0.0,0.0,2.5725875,0.116510786,1.8130667,2.034678,0.0,0.11664366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5042822,0.0,0.0,0.0,0.0,0.40508074,0.047576934,1.7218239,1.2572747,1.3343699,1.4747767,2.420498,5.1545935,0.0,4.4976134,2.8098161,2.045961,0.0,0.0,0.4271308,4.662542,0.42430317,0.41076022,0.7971478,0.0,2.0165272,0.0,0.0,1.9332926,0.0,0.71197367,0.26206923,0.0,1.6113286,4.206951,0.0,0.2993122,1.109739,0.80124944,0.0,3.7113326
TCGA-A2-A0CR,0.97618294,0.1124931,0.0,0.0,1.0993385,0.0,0.0,0.8197955,1.3201741,0.0,0.0,0.21232092,0.0,2.1733503,0.61533844,0.1760606,4.333433,0.0,0.9764706,0.0,0.0,1.5519305,0.120026395,3.9536967,0.0,1.7449105,0.0,1.4046859,0.0,0.6742846,0.005215954,1.797424,0.0,1.7756332,1.7102602,2.4034033,0.0,2.260087,0.0,0.0,0.38581344,2.9093623,0.5087372,1.6550605,1.9888811,2.529713,0.8490774,2.3118353,0.0,0.0,0.0,0.0,0.0,0.5486579,0.0,5.016689,0.0,5.8148584,0.0,0.0,0.0,1.2256978,0.94667304,0.06780211
TCGA-A2-A0CS,0.0,3.297798,0.0,0.0,2.6754827,0.0,0.0,0.0,0.0,3.216275,0.0,2.9443042,0.65187955,1.0206602,0.0,0.0,0.0,0.6992552,0.0,0.0,0.32951382,0.0,0.0,1.7746087,1.206898,0.0,0.0,0.0,1.3575861,0.0,0.0,0.25679222,2.3474202,2.2431529,0.0,3.7217033,0.0,4.5351443,0.0,0.0,0.0,0.0,2.6795142,3.721023,3.6931317,0.0,0.0,0.0,1.9791756,0.0,0.0,0.58992356,0.0,2.3487308,0.0,0.39076567,1.4075665,1.2932208,0.012842998,1.7800124,0.897322,0.3021364,1.5821824,0.696224
TCGA-A2-A0CT,0.0,0.24197187,1.9677151,2.544418,4.2172523,1.2353595,0.0,1.7011245,0.0,6.2255282,0.0,5.025358,3.126107,0.10564929,0.0,1.5956333,0.0,1.1357538,3.6881516,0.0,1.0703233,0.0,0.0,0.0,0.049158,0.0,0.0,0.0,0.0,0.0,4.3983045,2.0480967,1.7943594,0.52322054,0.0,1.7107167,0.0,0.38924184,0.0,0.0,0.0,0.0,5.965061,1.6876237,0.0,0.0,0.0,3.6091392,0.0,1.2232529,0.0,0.0,0.0,5.65997,1.9119002,1.619204,1.5400814,0.50517637,1.3162379,2.6412237,0.0,0.0,0.89109504,2.279972
TCGA-A2-A0CU,0.4814499,0.0,0.3207518,3.2751906,1.5216717,2.414793,0.0,0.0,2.5122051,0.9869849,0.0,2.0965884,1.2038021,0.0,0.0,1.7490857,0.0,1.1222867,4.7091775,0.0,0.0,0.0,0.0,0.0,0.8998677,1.7131143,0.0,0.0,0.0,0.45104885,0.9978061,1.1501077,1.8536325,0.0,0.95609987,3.2590992,3.6572545,2.7892213,0.83058774,0.0,0.0,0.0,3.8276176,1.0800381,0.0,2.4697762,0.0,0.0,0.0,0.0,0.0,1.7729872,0.0,0.63244414,0.10586452,1.6497695,2.927961,2.0866237,0.0,3.1051352,0.0,5.602681,0.56181866,2.9747474
TCGA-A2-A0CV,0.0,1.8262016,0.0,1.3624617,2.126512,1.1286825,0.0,2.1354513,1.5923469,1.164583,0.0,0.34243274,0.0,0.0,0.098585665,0.0,0.13239972,2.275334,0.40326214,0.0,0.0,1.7083223,0.837531,1.5271943,0.0,0.0,0.0,0.0,0.0,1.5560906,0.0,3.9475064,2.2147112,0.0,0.0,0.5443258,0.0,4.765645,0.0,0.0,0.0,1.5340024,2.4989142,3.326207,0.9887981,0.28251988,0.0,0.0,0.0,0.0,0.2878813,1.8491571,0.0,0.8666569,0.0,1.542278,1.6406302,2.154677,0.0,0.0,0.8629,1.3021764,0.86148643,1.2707604
